NR_CERTIFICADO;DT_PROTOCOLO
1143819253114;2025-03-24
1143819503117;2025-03-24
1143819763114;2025-03-25
1143819833112;2025-03-24
1143819923117;2025-03-24
1143819933114;2025-04-09
1143819953114;2025-04-10
1143820143112;2025-03-31
1143820183117;2025-06-16
1143820203117;2025-03-25
1143820213117;2025-03-25
1143820223114;2025-03-25
1143820333117;2025-03-25
1143820353114;2025-04-03
1143820703117;2025-03-25
1143820703115;2025-03-25
1143820763112;2025-03-25
1143820853109;2025-03-25
1143820853117;2025-03-25
1143820973117;2025-03-26
1143821163117;2025-03-25
1143821193117;2025-04-10
1143821233109;2025-03-25
1143821253109;2025-07-04
1143821363108;2025-03-27
1143821483108;2025-03-27
1143821503117;2025-03-25
1143821623117;2025-03-25
1143821653108;2025-03-25
1143821713115;2025-03-26
1143821773108;2025-03-25
1143821883117;2025-03-25
1143821953117;2025-03-26
1143821993111;2025-05-14
1143822003117;2025-03-28
1143822323109;2025-03-25
1143822353111;2025-03-25
1143822383117;2025-04-02
1143822483112;2025-03-25
1143822633112;2025-03-25
1143822703117;2025-03-25
1143822743117;2025-03-27
1143822753117;2025-04-04
1143823133114;2025-03-25
1143823143117;2025-03-28
1143823213108;2025-03-25
1143823353117;2025-06-13
1143823373115;2025-04-09
1143823393114;2025-03-25
1143823413114;2025-05-19
1143823453117;2025-04-03
1143823473114;2025-04-28
1143823523108;2025-03-25
1143823563111;2025-03-25
1143823633114;2025-03-25
1143823713117;2025-04-01
1143946373108;2025-03-28
1143946493114;2025-05-06
1143946553117;2025-03-31
1143946583117;2025-03-28
1143946733117;2025-03-27
1143946773108;2025-03-26
1143946833108;2025-03-25
1143947093117;2025-03-27
1143947103117;2025-03-25
1143947243117;2025-04-08
1143947293117;2025-03-26
1143947493112;2025-03-26
1143947583114;2025-03-26
1143947693109;2025-03-27
1143947833117;2025-03-26
1143947973114;2025-03-26
1143948003115;2025-03-26
1143948033112;2025-03-26
1143948173117;2025-03-26
1143948433111;2025-03-31
1143948593114;2025-04-22
1143948623109;2025-03-26
1143948753117;2025-03-26
1143949003117;2025-03-26
1143949013108;2025-03-26
1143949253117;2025-04-14
1143949263112;2025-03-26
1143949293117;2025-03-26
1143949303117;2025-03-28
1143949313117;2025-03-26
1143949323117;2025-03-28
1143949373117;2025-03-26
1143949383117;2025-04-14
1143949493112;2025-03-26
1143949653114;2025-03-27
1143949813117;2025-03-26
1143949863109;2025-04-17
1143950103109;2025-03-26
1143950113117;2025-03-28
1143950173117;2025-03-26
1143950513117;2025-03-26
1143950543108;2025-03-27
1143950613114;2025-03-26
1143950693108;2025-03-26
1143950993108;2025-03-27
1143951043117;2025-04-01
1143951063117;2025-04-11
1143951233112;2025-03-26
1143951473108;2025-03-26
1143951493114;2025-07-04
1143951573109;2025-03-26
1143951623117;2025-03-26
1143951893117;2025-04-09
1143952083117;2025-03-28
1143952093117;2025-03-26
1143952133108;2025-03-27
1143952443117;2025-03-27
1143952473114;2025-03-27
1143952583112;2025-03-31
1143952593108;2025-03-27
1143952603117;2025-03-27
